time,T_op,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_c,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,Q
0.0,308.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.178447513722112,26.74088993415809,2.543385736793425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0
0.25,308.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.222217932578822,26.78749944887349,2.551042882819422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.2857547151791
0.5,308.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.265386562969963,26.833723702628195,2.55872040498765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.5746517886672
0.75,308.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.307920073490273,26.87953146814268,2.566411515224751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.8666862977173
1.0,308.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.349785673668045,26.924891231912,2.57410958470512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.1618514916631
1.25,308.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.390951135444332,26.969771215651,2.581808150626116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.4601387733182
1.5,308.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.431384814137555,27.014139398094517,2.589500922752701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.76153768313293
1.75,308.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.471055668879965,27.05796353713781,2.5971817897250444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0660358861065
2.0,308.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.509933282512728,27.101211192301975,2.6048448251228504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.37361916144687
2.25,308.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.547987880927026,27.143849747509023,2.6124842932804846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.68427139497004
2.5,308.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.585190351838898,27.18584643415059,2.6200946548471853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.9979745742244
2.75,308.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.621512262986212,27.22716835443454,2.62767057208698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.31470878632572
3.0,308.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.656925879736567,27.267782504992816,2.635206913913165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.6344522184807
3.25,308.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.691404182095408,27.30765580073411,2.6426987606525243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.9571811611769
3.5,308.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.724920881104286,27.34675509892436,2.650141408534745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.28287001401424
