	ligand	receptor	annotation	pathway
ALDH1A2|RARB_CRABP2_RXRB	ALDH1A2	RARB_CRABP2_RXRB	Non-protein Signaling	RA
ALDH1A2|RARG_CRABP2	ALDH1A2	RARG_CRABP2	Non-protein Signaling	RA
ALDH1A2|RARG_CRABP2_RXRG	ALDH1A2	RARG_CRABP2_RXRG	Non-protein Signaling	RA
ALDH1A2|RORB	ALDH1A2	RORB	Non-protein Signaling	RA
ALDH1A3|CRABP2_RARA	ALDH1A3	CRABP2_RARA	Non-protein Signaling	RA
ALDH1A3|CRABP2_RXRA	ALDH1A3	CRABP2_RXRA	Non-protein Signaling	RA
ALDH1A3|CRABP2_RXRA_RARA	ALDH1A3	CRABP2_RXRA_RARA	Non-protein Signaling	RA
ALDH1A3|CRABP2_RXRB	ALDH1A3	CRABP2_RXRB	Non-protein Signaling	RA
ALDH1A3|CRABP2_RXRG	ALDH1A3	CRABP2_RXRG	Non-protein Signaling	RA
ALDH1A3|RARB_CRABP2	ALDH1A3	RARB_CRABP2	Non-protein Signaling	RA
ALDH1A3|RARB_CRABP2_RXRB	ALDH1A3	RARB_CRABP2_RXRB	Non-protein Signaling	RA
ALDH1A3|RARG_CRABP2	ALDH1A3	RARG_CRABP2	Non-protein Signaling	RA
ALDH1A3|RARG_CRABP2_RXRG	ALDH1A3	RARG_CRABP2_RXRG	Non-protein Signaling	RA
ALDH1A3|RORB	ALDH1A3	RORB	Non-protein Signaling	RA
ALOX12|FPR2	ALOX12	FPR2	Non-protein Signaling	LXA4
ALOX5AP_LTC4S_ALOX5|CYSLTR1	ALOX5AP_LTC4S_ALOX5	CYSLTR1	Non-protein Signaling	CysLTs
ALOX5AP_LTC4S_ALOX5|CYSLTR2	ALOX5AP_LTC4S_ALOX5	CYSLTR2	Non-protein Signaling	CysLTs
ALOX5AP_LTC4S_ALOX5|FPR2	ALOX5AP_LTC4S_ALOX5	FPR2	Non-protein Signaling	LXA4
AMH|ACVR1_AMHR2	AMH	ACVR1_AMHR2	Secreted	AMH
AMH|AMHR2_BMPR1A	AMH	AMHR2_BMPR1A	Secreted	AMH
AMH|BMPR1B_AMHR2	AMH	BMPR1B_AMHR2	Secreted	AMH
ANGPT1|TEK	ANGPT1	TEK	Secreted	ANGPT
ANGPT2|ITGA5_ITGB1	ANGPT2	ITGA5_ITGB1	Secreted	ANGPT
ANGPT2|TEK	ANGPT2	TEK	Secreted	ANGPT
ANGPTL1|ITGB1_ITGA1	ANGPTL1	ITGB1_ITGA1	Secreted	ANGPTL
ANGPTL1|LILRB3	ANGPTL1	LILRB3	Secreted	ANGPTL
ANGPTL2|ITGA5_ITGB1	ANGPTL2	ITGA5_ITGB1	Secreted	ANGPTL
ANGPTL2|LILRB3	ANGPTL2	LILRB3	Secreted	ANGPTL
ANGPTL2|TLR4	ANGPTL2	TLR4	Secreted	ANGPTL
ANGPTL4|CDH11	ANGPTL4	CDH11	Secreted	ANGPTL
ANGPTL4|CDH5	ANGPTL4	CDH5	Secreted	ANGPTL
ANGPTL4|ITGA5_ITGB1	ANGPTL4	ITGA5_ITGB1	Secreted	ANGPTL
ANGPTL4|SDC1	ANGPTL4	SDC1	Secreted	ANGPTL
ANGPTL4|SDC2	ANGPTL4	SDC2	Secreted	ANGPTL
ANGPTL4|SDC3	ANGPTL4	SDC3	Secreted	ANGPTL
ANGPTL4|SDC4	ANGPTL4	SDC4	Secreted	ANGPTL
ANGPTL7|LILRB3	ANGPTL7	LILRB3	Secreted	ANGPTL
ANXA1|FPR1	ANXA1	FPR1	Secreted	ANNEXIN
ANXA1|FPR2	ANXA1	FPR2	Secreted	ANNEXIN
ANXA1|FPR2_FPR3	ANXA1	FPR2_FPR3	Secreted	ANNEXIN
ANXA1|FPR3	ANXA1	FPR3	Secreted	ANNEXIN
APELA|APLNR	APELA	APLNR	Secreted	APJ
APLN|APLNR	APLN	APLNR	Secreted	APELIN
APOA1|ABCA1	APOA1	ABCA1	Cell-Cell Contact	ApoA
APOA1|AMN_CUBN	APOA1	AMN_CUBN	Cell-Cell Contact	ApoA
APOA1|TREM2_TYROBP	APOA1	TREM2_TYROBP	Cell-Cell Contact	ApoA
APOA2|TREM2_TYROBP	APOA2	TREM2_TYROBP	Cell-Cell Contact	ApoA
APOB|APOBR	APOB	APOBR	Cell-Cell Contact	ApoB
APOB|TREM2_TYROBP	APOB	TREM2_TYROBP	Cell-Cell Contact	ApoB
APOE|TREM2_TYROBP	APOE	TREM2_TYROBP	Cell-Cell Contact	ApoE
APP|CD74	APP	CD74	Cell-Cell Contact	APP
APP|SORL1	APP	SORL1	Cell-Cell Contact	APP
APP|TNFRSF21	APP	TNFRSF21	Cell-Cell Contact	APP
APP|TREM2_TYROBP	APP	TREM2_TYROBP	Cell-Cell Contact	APP
AREG|EGFR	AREG	EGFR	Secreted	EGF
ARTN|GFRA1_RET	ARTN	GFRA1_RET	Secreted	GDNF
ARTN|GFRA3_RET	ARTN	GFRA3_RET	Secreted	GDNF
ASMT|MTNR1A	ASMT	MTNR1A	Non-protein Signaling	Melatonin
ASMT|MTNR1B	ASMT	MTNR1B	Non-protein Signaling	Melatonin
AVP|AVPR1A	AVP	AVPR1A	Secreted	AVP
AVP|AVPR1B	AVP	AVPR1B	Secreted	AVP
AVP|AVPR2	AVP	AVPR2	Secreted	AVP
BAG6|NCR3	BAG6	NCR3	Secreted	BAG
BDNF|NGFR	BDNF	NGFR	Secreted	NT
BDNF|NTRK2	BDNF	NTRK2	Secreted	NT
BDNF|SORT1	BDNF	SORT1	Secreted	NT
BMP10|ACVR2A_ACVRL1	BMP10	ACVR2A_ACVRL1	Secreted	BMP10
BMP10|BMPR2_ACVRL1	BMP10	BMPR2_ACVRL1	Secreted	BMP10
BMP15|BMPR1B_BMPR2	BMP15	BMPR1B_BMPR2	Secreted	BMP
BMP2|ACVR2A_BMPR1A	BMP2	ACVR2A_BMPR1A	Secreted	BMP
BMP2|ACVR2B_BMPR1A	BMP2	ACVR2B_BMPR1A	Secreted	BMP
BMP2|BMPR1B_ACVR2A	BMP2	BMPR1B_ACVR2A	Secreted	BMP
BMP2|BMPR1B_ACVR2B	BMP2	BMPR1B_ACVR2B	Secreted	BMP
BMP2|BMPR1B_BMPR2	BMP2	BMPR1B_BMPR2	Secreted	BMP
BMP2|BMPR2_BMPR1A	BMP2	BMPR2_BMPR1A	Secreted	BMP
BMP4|ACVR2A_BMPR1A	BMP4	ACVR2A_BMPR1A	Secreted	BMP
BMP4|ACVR2B_BMPR1A	BMP4	ACVR2B_BMPR1A	Secreted	BMP
BMP4|BMPR1B_ACVR2A	BMP4	BMPR1B_ACVR2A	Secreted	BMP
BMP4|BMPR1B_ACVR2B	BMP4	BMPR1B_ACVR2B	Secreted	BMP
BMP4|BMPR1B_BMPR2	BMP4	BMPR1B_BMPR2	Secreted	BMP
BMP4|BMPR2_BMPR1A	BMP4	BMPR2_BMPR1A	Secreted	BMP
BMP5|ACVR1_ACVR2A	BMP5	ACVR1_ACVR2A	Secreted	BMP
BMP5|ACVR1_ACVR2B	BMP5	ACVR1_ACVR2B	Secreted	BMP
BMP5|ACVR2A_BMPR1A	BMP5	ACVR2A_BMPR1A	Secreted	BMP
BMP5|ACVR2B_BMPR1A	BMP5	ACVR2B_BMPR1A	Secreted	BMP
BMP5|BMPR1B_ACVR2A	BMP5	BMPR1B_ACVR2A	Secreted	BMP
BMP5|BMPR1B_ACVR2B	BMP5	BMPR1B_ACVR2B	Secreted	BMP
BMP5|BMPR1B_BMPR2	BMP5	BMPR1B_BMPR2	Secreted	BMP
BMP5|BMPR2_ACVR1	BMP5	BMPR2_ACVR1	Secreted	BMP
BMP5|BMPR2_BMPR1A	BMP5	BMPR2_BMPR1A	Secreted	BMP
BMP6|ACVR1_ACVR2A	BMP6	ACVR1_ACVR2A	Secreted	BMP
BMP6|ACVR1_ACVR2B	BMP6	ACVR1_ACVR2B	Secreted	BMP
BMP6|ACVR2A_BMPR1A	BMP6	ACVR2A_BMPR1A	Secreted	BMP
BMP6|ACVR2B_BMPR1A	BMP6	ACVR2B_BMPR1A	Secreted	BMP
BMP6|BMPR1B_ACVR2A	BMP6	BMPR1B_ACVR2A	Secreted	BMP
BMP6|BMPR1B_ACVR2B	BMP6	BMPR1B_ACVR2B	Secreted	BMP
BMP6|BMPR1B_BMPR2	BMP6	BMPR1B_BMPR2	Secreted	BMP
BMP6|BMPR2_ACVR1	BMP6	BMPR2_ACVR1	Secreted	BMP
BMP6|BMPR2_BMPR1A	BMP6	BMPR2_BMPR1A	Secreted	BMP
BMP7|ACVR1_ACVR2A	BMP7	ACVR1_ACVR2A	Secreted	BMP
BMP7|ACVR1_ACVR2B	BMP7	ACVR1_ACVR2B	Secreted	BMP
BMP7|ACVR2A_BMPR1A	BMP7	ACVR2A_BMPR1A	Secreted	BMP
BMP7|ACVR2B_BMPR1A	BMP7	ACVR2B_BMPR1A	Secreted	BMP
BMP7|BMPR1B_ACVR2A	BMP7	BMPR1B_ACVR2A	Secreted	BMP
BMP7|BMPR1B_ACVR2B	BMP7	BMPR1B_ACVR2B	Secreted	BMP
BMP7|BMPR1B_BMPR2	BMP7	BMPR1B_BMPR2	Secreted	BMP
BMP7|BMPR2_ACVR1	BMP7	BMPR2_ACVR1	Secreted	BMP
BMP7|BMPR2_BMPR1A	BMP7	BMPR2_BMPR1A	Secreted	BMP
BMP8A|ACVR1_ACVR2A	BMP8A	ACVR1_ACVR2A	Secreted	BMP
BMP8A|ACVR1_ACVR2B	BMP8A	ACVR1_ACVR2B	Secreted	BMP
BMP8A|ACVR2A_BMPR1A	BMP8A	ACVR2A_BMPR1A	Secreted	BMP
BMP8A|ACVR2B_BMPR1A	BMP8A	ACVR2B_BMPR1A	Secreted	BMP
BMP8A|BMPR1B_ACVR2A	BMP8A	BMPR1B_ACVR2A	Secreted	BMP
BMP8A|BMPR1B_ACVR2B	BMP8A	BMPR1B_ACVR2B	Secreted	BMP
BMP8A|BMPR1B_BMPR2	BMP8A	BMPR1B_BMPR2	Secreted	BMP
BMP8A|BMPR2_ACVR1	BMP8A	BMPR2_ACVR1	Secreted	BMP
BMP8A|BMPR2_BMPR1A	BMP8A	BMPR2_BMPR1A	Secreted	BMP
BMP8B|ACVR1_ACVR2A	BMP8B	ACVR1_ACVR2A	Secreted	BMP
BMP8B|ACVR1_ACVR2B	BMP8B	ACVR1_ACVR2B	Secreted	BMP
BMP8B|ACVR2A_BMPR1A	BMP8B	ACVR2A_BMPR1A	Secreted	BMP
BMP8B|ACVR2B_BMPR1A	BMP8B	ACVR2B_BMPR1A	Secreted	BMP
BMP8B|BMPR1B_ACVR2A	BMP8B	BMPR1B_ACVR2A	Secreted	BMP
BMP8B|BMPR1B_ACVR2B	BMP8B	BMPR1B_ACVR2B	Secreted	BMP
BMP8B|BMPR1B_BMPR2	BMP8B	BMPR1B_BMPR2	Secreted	BMP
BMP8B|BMPR2_ACVR1	BMP8B	BMPR2_ACVR1	Secreted	BMP
BMP8B|BMPR2_BMPR1A	BMP8B	BMPR2_BMPR1A	Secreted	BMP
BTC|EGFR	BTC	EGFR	Secreted	EGF
BTLA|TNFRSF14	BTLA	TNFRSF14	Secreted	BTLA
C1QL1|ADGRB3	C1QL1	ADGRB3	Cell-Cell Contact	ADGRB
C1QL4|ADGRB3	C1QL4	ADGRB3	Cell-Cell Contact	ADGRB
C3|C3AR1	C3	C3AR1	Secreted	COMPLEMENT
C3|CR2	C3	CR2	Secreted	COMPLEMENT
C3|ITGAM_ITGB2	C3	ITGAM_ITGB2	Secreted	COMPLEMENT
C3|ITGAX_ITGB2	C3	ITGAX_ITGB2	Secreted	COMPLEMENT
C4A|C3AR1	C4A	C3AR1	Secreted	COMPLEMENT
C4A|CR2	C4A	CR2	Secreted	COMPLEMENT
C5|C5AR1	C5	C5AR1	Secreted	COMPLEMENT
CADM1|CADM1	CADM1	CADM1	Cell-Cell Contact	CADM
CADM1|NECTIN3	CADM1	NECTIN3	Cell-Cell Contact	CADM
CADM3|CADM1	CADM3	CADM1	Cell-Cell Contact	CADM
CADM3|CADM3	CADM3	CADM3	Cell-Cell Contact	CADM
CADM3|CADM4	CADM3	CADM4	Cell-Cell Contact	CADM
CADM3|EPB41L1	CADM3	EPB41L1	Cell-Cell Contact	CADM
CADM3|NECTIN3	CADM3	NECTIN3	Cell-Cell Contact	CADM
CBR1|PTGFR	CBR1	PTGFR	Non-protein Signaling	Prostaglandin
CCK|CCKAR	CCK	CCKAR	Secreted	CCK
CCK|CCKBR	CCK	CCKBR	Secreted	CCK
CCL1|ACKR1	CCL1	ACKR1	Secreted	CCL
CCL1|ACKR4	CCL1	ACKR4	Secreted	CCL
CCL1|CCR8	CCL1	CCR8	Secreted	CCL
CCL11|ACKR1	CCL11	ACKR1	Secreted	CCL
CCL11|ACKR2	CCL11	ACKR2	Secreted	CCL
CCL11|CCR3	CCL11	CCR3	Secreted	CCL
CCL13|ACKR1	CCL13	ACKR1	Secreted	CCL
CCL13|ACKR2	CCL13	ACKR2	Secreted	CCL
CCL13|ACKR4	CCL13	ACKR4	Secreted	CCL
CCL13|CCR1	CCL13	CCR1	Secreted	CCL
CCL14|ACKR1	CCL14	ACKR1	Secreted	CCL
CCL14|ACKR2	CCL14	ACKR2	Secreted	CCL
CCL14|CCR1	CCL14	CCR1	Secreted	CCL
CCL15|CCR1	CCL15	CCR1	Secreted	CCL
CCL16|ACKR1	CCL16	ACKR1	Secreted	CCL
CCL16|CCR1	CCL16	CCR1	Secreted	CCL
CCL17|ACKR1	CCL17	ACKR1	Secreted	CCL
CCL17|ACKR2	CCL17	ACKR2	Secreted	CCL
CCL17|CCR4	CCL17	CCR4	Secreted	CCL
CCL18|ACKR1	CCL18	ACKR1	Secreted	CCL
CCL19|ACKR4	CCL19	ACKR4	Secreted	CCL
CCL19|CCR7	CCL19	CCR7	Secreted	CCL
CCL2|ACKR1	CCL2	ACKR1	Secreted	CCL
CCL2|ACKR2	CCL2	ACKR2	Secreted	CCL
CCL2|CCR2	CCL2	CCR2	Secreted	CCL
CCL20|CCR6	CCL20	CCR6	Secreted	CCL
CCL21|ACKR4	CCL21	ACKR4	Secreted	CCL
CCL21|CCR7	CCL21	CCR7	Secreted	CCL
CCL22|ACKR2	CCL22	ACKR2	Secreted	CCL
CCL22|CCR4	CCL22	CCR4	Secreted	CCL
CCL23|CCR1	CCL23	CCR1	Secreted	CCL
CCL24|ACKR2	CCL24	ACKR2	Secreted	CCL
CCL24|CCR3	CCL24	CCR3	Secreted	CCL
CCL25|ACKR4	CCL25	ACKR4	Secreted	CCL
CCL25|CCR9	CCL25	CCR9	Secreted	CCL
CCL26|ACKR2	CCL26	ACKR2	Secreted	CCL
CCL26|CCR3	CCL26	CCR3	Secreted	CCL
CCL27|CCR10	CCL27	CCR10	Secreted	CCL
CCL27|CCR2	CCL27	CCR2	Secreted	CCL
CCL27|CCR3	CCL27	CCR3	Secreted	CCL
CCL28|CCR10	CCL28	CCR10	Secreted	CCL
CCL28|CCR3	CCL28	CCR3	Secreted	CCL
CCL3|ACKR2	CCL3	ACKR2	Secreted	CCL
CCL3|CCR1	CCL3	CCR1	Secreted	CCL
CCL3|CCR5	CCL3	CCR5	Secreted	CCL
CCL3L1|ACKR2	CCL3L1	ACKR2	Secreted	CCL
CCL3L1|CCR1	CCL3L1	CCR1	Secreted	CCL
CCL3L3|CCR1	CCL3L3	CCR1	Secreted	CCL
CCL4|ACKR2	CCL4	ACKR2	Secreted	CCL
CCL4|CCR5	CCL4	CCR5	Secreted	CCL
CCL5|ACKR1	CCL5	ACKR1	Secreted	CCL
CCL5|ACKR2	CCL5	ACKR2	Secreted	CCL
CCL5|CCR1	CCL5	CCR1	Secreted	CCL
CCL5|CCR3	CCL5	CCR3	Secreted	CCL
CCL5|CCR4	CCL5	CCR4	Secreted	CCL
CCL5|CCR5	CCL5	CCR5	Secreted	CCL
CCL7|ACKR1	CCL7	ACKR1	Secreted	CCL
CCL7|ACKR2	CCL7	ACKR2	Secreted	CCL
CCL7|CCR1	CCL7	CCR1	Secreted	CCL
CCL7|CCR2	CCL7	CCR2	Secreted	CCL
CCL7|CCR3	CCL7	CCR3	Secreted	CCL
CCL8|ACKR1	CCL8	ACKR1	Secreted	CCL
CCL8|ACKR2	CCL8	ACKR2	Secreted	CCL
CCL8|ACKR4	CCL8	ACKR4	Secreted	CCL
CCL8|CCR1	CCL8	CCR1	Secreted	CCL
CCL8|CCR2	CCL8	CCR2	Secreted	CCL
CD160|TNFRSF14	CD160	TNFRSF14	Cell-Cell Contact	CD160
CD1D|CEACAM5	CD1D	CEACAM5	Cell-Cell Contact	CEACAM
CD200|CD200R1	CD200	CD200R1	Cell-Cell Contact	CD200
CD209|CEACAM1	CD209	CEACAM1	Cell-Cell Contact	CEACAM
CD22|PTPRC	CD22	PTPRC	Cell-Cell Contact	CD22
CD226|NECTIN2	CD226	NECTIN2	Cell-Cell Contact	CD226
CD226|PVR	CD226	PVR	Cell-Cell Contact	CD226
CD274|PDCD1	CD274	PDCD1	Cell-Cell Contact	PD-L1
CD276|TREML2	CD276	TREML2	Cell-Cell Contact	CD276
CD34|SELP	CD34	SELP	Cell-Cell Contact	CD34
CD40LG|CD40	CD40LG	CD40	Cell-Cell Contact	CD40
CD40LG|ITGA5_ITGB1	CD40LG	ITGA5_ITGB1	Secreted	CD40
CD40LG|ITGAM_ITGB2	CD40LG	ITGAM_ITGB2	Secreted	CD40
CD46|JAG1	CD46	JAG1	Cell-Cell Contact	CD46
CD48|CD244	CD48	CD244	Cell-Cell Contact	CD48
CD55|ADGRE5	CD55	ADGRE5	Cell-Cell Contact	ADGRE
CD6|ALCAM	CD6	ALCAM	Cell-Cell Contact	CD6
CD69|KLRB1	CD69	KLRB1	Cell-Cell Contact	CLEC
CD70|CD27	CD70	CD27	Secreted	CD70
CD80|CD274	CD80	CD274	Cell-Cell Contact	CD80
CD80|CD28	CD80	CD28	Cell-Cell Contact	CD80
CD80|CTLA4	CD80	CTLA4	Cell-Cell Contact	CD80
CD86|CD28	CD86	CD28	Cell-Cell Contact	CD86
CD86|CTLA4	CD86	CTLA4	Cell-Cell Contact	CD86
CD8A|CEACAM5	CD8A	CEACAM5	Cell-Cell Contact	CEACAM
CD96|NECTIN1	CD96	NECTIN1	Cell-Cell Contact	CD96
CD96|PVR	CD96	PVR	Cell-Cell Contact	CD96
CD99|CD99	CD99	CD99	Cell-Cell Contact	CD99
CD99|CD99L2	CD99	CD99L2	Cell-Cell Contact	CD99
CD99|PILRA	CD99	PILRA	Cell-Cell Contact	CD99
CDH1|CDH1	CDH1	CDH1	Cell-Cell Contact	CDH
CDH1|ITGA2_ITGB1	CDH1	ITGA2_ITGB1	Cell-Cell Contact	CDH1
CDH1|ITGAE_ITGB7	CDH1	ITGAE_ITGB7	Cell-Cell Contact	CDH1
CDH1|KLRG1	CDH1	KLRG1	Cell-Cell Contact	CDH1
CDH12|ITGB1_ITGA1	CDH12	ITGB1_ITGA1	Cell-Cell Contact	CDH
CDH15|CDH15	CDH15	CDH15	Cell-Cell Contact	CDH
CDH2|CDH2	CDH2	CDH2	Cell-Cell Contact	CDH
CDH3|CDH3	CDH3	CDH3	Cell-Cell Contact	CDH
CDH4|CDH4	CDH4	CDH4	Cell-Cell Contact	CDH
CDH5|CDH5	CDH5	CDH5	Cell-Cell Contact	CDH5
CEACAM1|CD209	CEACAM1	CD209	Cell-Cell Contact	CEACAM
CEACAM1|CEACAM5	CEACAM1	CEACAM5	Cell-Cell Contact	CEACAM
CEACAM1|CEACAM6	CEACAM1	CEACAM6	Cell-Cell Contact	CEACAM
CEACAM1|CEACAM8	CEACAM1	CEACAM8	Cell-Cell Contact	CEACAM
CEACAM1|SELE	CEACAM1	SELE	Cell-Cell Contact	CEACAM
CEACAM5|CD1D	CEACAM5	CD1D	Cell-Cell Contact	CEACAM
CEACAM5|CD8A	CEACAM5	CD8A	Cell-Cell Contact	CEACAM
CEACAM5|CEACAM1	CEACAM5	CEACAM1	Cell-Cell Contact	CEACAM
CEACAM5|CEACAM6	CEACAM5	CEACAM6	Cell-Cell Contact	CEACAM
CEACAM6|CEACAM6	CEACAM6	CEACAM6	Cell-Cell Contact	CEACAM
CEACAM8|CEACAM6	CEACAM8	CEACAM6	Cell-Cell Contact	CEACAM
CEL|RORA	CEL	RORA	Non-protein Signaling	Cholesterol
CEL|RORC	CEL	RORC	Non-protein Signaling	Cholesterol
CGA|FSHR	CGA	FSHR	Secreted	FSH
CGA|LHCGR	CGA	LHCGR	Secreted	LHB
CGA|TSHR	CGA	TSHR	Secreted	TSH
CHAD|ITGA2_ITGB1	CHAD	ITGA2_ITGB1	ECM-Receptor	CHAD
CLCF1|IL6ST_LIFR_CNTFR	CLCF1	IL6ST_LIFR_CNTFR	Secreted	LIFR
CLDN1|CLDN1	CLDN1	CLDN1	Cell-Cell Contact	CLDN
CLDN11|CLDN11	CLDN11	CLDN11	Cell-Cell Contact	CLDN
CLDN2|CLDN2	CLDN2	CLDN2	Cell-Cell Contact	CLDN
CLDN3|CLDN3	CLDN3	CLDN3	Cell-Cell Contact	CLDN
CLEC1B|KLRB1	CLEC1B	KLRB1	Cell-Cell Contact	CLEC
CLEC2A|KLRB1	CLEC2A	KLRB1	Cell-Cell Contact	CLEC
CLEC2B|KLRB1	CLEC2B	KLRB1	Cell-Cell Contact	CLEC
CLEC2D|KLRB1	CLEC2D	KLRB1	Cell-Cell Contact	CLEC
CLEC2L|KLRB1	CLEC2L	KLRB1	Cell-Cell Contact	CLEC
CNTF|IL6ST_LIFR_CNTFR	CNTF	IL6ST_LIFR_CNTFR	Secreted	LIFR
CNTN1|NOTCH1	CNTN1	NOTCH1	Cell-Cell Contact	CNTN
CNTN1|NOTCH2	CNTN1	NOTCH2	Cell-Cell Contact	CNTN
CNTN1|NRCAM	CNTN1	NRCAM	Cell-Cell Contact	CNTN
CNTN2|CNTN2	CNTN2	CNTN2	Cell-Cell Contact	CNTN
CNTN2|CNTN2_CNTNAP2	CNTN2	CNTN2_CNTNAP2	Cell-Cell Contact	CNTN
CNTN2|L1CAM	CNTN2	L1CAM	Cell-Cell Contact	CNTN
COL1A1|CD44	COL1A1	CD44	ECM-Receptor	COLLAGEN
COL1A1|GP6	COL1A1	GP6	ECM-Receptor	COLLAGEN
COL1A1|ITGA10_ITGB1	COL1A1	ITGA10_ITGB1	ECM-Receptor	COLLAGEN
COL1A1|ITGA2_ITGB1	COL1A1	ITGA2_ITGB1	ECM-Receptor	COLLAGEN
COL1A1|ITGA3_ITGB1	COL1A1	ITGA3_ITGB1	ECM-Receptor	COLLAGEN
COL1A1|ITGA9_ITGB1	COL1A1	ITGA9_ITGB1	ECM-Receptor	COLLAGEN
COL1A1|ITGAV_ITGB8	COL1A1	ITGAV_ITGB8	ECM-Receptor	COLLAGEN
COL1A1|ITGB1_ITGA1	COL1A1	ITGB1_ITGA1	ECM-Receptor	COLLAGEN
COL1A1|ITGB1_ITGA11	COL1A1	ITGB1_ITGA11	ECM-Receptor	COLLAGEN
COL1A1|SDC1	COL1A1	SDC1	ECM-Receptor	COLLAGEN
COL1A1|SDC4	COL1A1	SDC4	ECM-Receptor	COLLAGEN
COL1A2|CD44	COL1A2	CD44	ECM-Receptor	COLLAGEN
COL1A2|GP6	COL1A2	GP6	ECM-Receptor	COLLAGEN
COL1A2|ITGA10_ITGB1	COL1A2	ITGA10_ITGB1	ECM-Receptor	COLLAGEN
COL1A2|ITGA2_ITGB1	COL1A2	ITGA2_ITGB1	ECM-Receptor	COLLAGEN
COL1A2|ITGA3_ITGB1	COL1A2	ITGA3_ITGB1	ECM-Receptor	COLLAGEN
COL1A2|ITGA9_ITGB1	COL1A2	ITGA9_ITGB1	ECM-Receptor	COLLAGEN
COL1A2|ITGAV_ITGB8	COL1A2	ITGAV_ITGB8	ECM-Receptor	COLLAGEN
COL1A2|ITGB1_ITGA1	COL1A2	ITGB1_ITGA1	ECM-Receptor	COLLAGEN
COL1A2|ITGB1_ITGA11	COL1A2	ITGB1_ITGA11	ECM-Receptor	COLLAGEN
COL1A2|SDC1	COL1A2	SDC1	ECM-Receptor	COLLAGEN
COL1A2|SDC4	COL1A2	SDC4	ECM-Receptor	COLLAGEN
COL2A1|CD44	COL2A1	CD44	ECM-Receptor	COLLAGEN
COL2A1|GP6	COL2A1	GP6	ECM-Receptor	COLLAGEN
COL2A1|ITGA10_ITGB1	COL2A1	ITGA10_ITGB1	ECM-Receptor	COLLAGEN
COL2A1|ITGA2_ITGB1	COL2A1	ITGA2_ITGB1	ECM-Receptor	COLLAGEN
COL2A1|ITGA3_ITGB1	COL2A1	ITGA3_ITGB1	ECM-Receptor	COLLAGEN
